-1 0 0 0 0 0 Me
-2 0 0 392 0 0
-3 0 0 4 0 0
-4 0 0 1 0 0
-5 0 0 15720 0 0
-6 0 0 0 0 767
-7 0 0 0 0 32311654
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
7 1 0 0 0 29430797 Start Sync
4 2 0 0 0 29444807 end compute
5 2 0 0 0 29447290 start reduce
6 2 0 0 0 29450278 end reduce
7 2 0 0 0 29450451 Start Sync
6 0 0 0 0 29456592 end reduce
8 2 0 0 0 29489083 End Sync
3 2 0 0 0 29489259 start compute
7 0 0 0 0 29491786 Start Sync
8 1 0 0 0 29493933 End Sync
8 3 0 0 0 29494003 End Sync
3 1 0 0 0 29494115 start compute
3 3 0 0 0 29494119 start compute
8 0 0 0 0 29494555 End Sync
3 0 0 0 0 29494615 start compute
4 0 0 0 0 29967904 end compute
5 0 0 0 0 30032941 start reduce
4 3 0 0 0 30270528 end compute
5 3 0 0 0 30272188 start reduce
6 3 0 0 0 30273402 end reduce
4 1 0 0 0 31323211 end compute
5 1 0 0 0 31325803 start reduce
6 1 0 0 0 31327537 end reduce
4 2 0 0 0 31332863 end compute
5 2 0 0 0 31335365 start reduce
6 2 0 0 0 31338363 end reduce
6 0 0 0 0 31344423 end reduce
1 2 0 0 0 32302970 start broadcast
2 2 0 0 0 32306084 end broadcast
1 0 0 0 0 32308063 start broadcast
1 1 0 0 0 32308589 start broadcast
1 3 0 0 0 32309027 start broadcast
2 3 0 0 0 32310028 end broadcast
2 0 0 0 0 32310433 end broadcast
2 1 0 0 0 32311646 end broadcast
